episode,timestep,reward
1,1000,70.19
3,2000,64.72
5,3000,76.12
7,4000,68.57
9,5000,100.17
11,6000,88.475
13,7000,112.51
15,8000,136.09
17,9000,123.59
19,10000,160.51
21,11000,157.86
23,12000,194.46
25,13000,218.405
27,14000,205.715
29,15000,275.41
31,16000,333.18
33,17000,300.23
35,18000,305.62
37,19000,380.285
39,20000,329.53
41,21000,410.095
43,22000,447.385
45,23000,463.8
47,24000,441.945
49,25000,435.105
51,26000,329.79
53,27000,426.265
55,28000,396.75
57,29000,460.755
59,30000,543.075
61,31000,512.245
63,32000,543.105
65,33000,512.16
67,34000,517.795
69,35000,547.645
71,36000,533.335
73,37000,587.125
75,38000,524.955
77,39000,497.85
79,40000,548.185
81,41000,520.33
83,42000,550.48
85,43000,532.965
87,44000,475.375
